,nativeStatusCode,SumOfpercentCover,rootCcontent,rootNcontent,rootCNratio,mycorrhizaIntensity,rootDiameter,SRL,RMF,rootingDepth,rootTissueDensity
Lycopodium_clavatum,N,1,,,,99,,,,,
Lycopodium_dendroideum,N,1.195833333,,,,99,,,,,
Lycopodium_hickeyi,N,1.138888889,,,,99,,,,,
Lycopodium_annotinum,N,2.93452381,469.1049039,11.16203369,42.02683094,99,,,,,
Equisetum_fluviatile,N,0.5,404.247207,9.04652861,44.68534003,99,,,,149.8387999,
Equisetum_sylvaticum,N,2.128787879,441.3733317,12.79277952,34.50175398,99,,,,,
Rubus_argutus,N,2.307291667,,,,99,,,,,
Rubus_canadensis,N,2,,,,99,,,,,
Rubus_hispidus,N,4.063888889,,,,99,,,,,
Rubus_pensilvanicus,N,2,,,,99,,,,,
Rubus_trivialis,N,2.495386905,,,,99,,,,,
Geum_canadense,N,1.220535714,,,,99,,,,,
Rubus_cuneifolius,N,3.270833333,,,,99,,,,,
Rubus_flagellaris,N,3.326515152,,,,99,,,,,
Potentilla_simplex,N,3.208333333,,,,99,,,,,
Rubus_occidentalis,N,2.642857143,,,,99,,,,,
Rosa_bridgesii,N,10.33333333,,,,99,,,,,
Rosa_gymnocarpa,N,2.416666667,,,,99,,,,,
Celtis_laevigata,N,62.045,,,,99,,,,362.4,
Celtis_occidentalis,N,3.527419355,,,,99,,,,183.7944001,
Salix_chamissonis,N,4.6875,353.8665804,,,99,1.590003422,,,,
Salix_pedicellaris,N,5.333333333,353.8665804,,,99,1.590003422,,,,
Rosa_setigera,N,5,,,,99,,,,74.03500005,
Potentilla_pulcherrima,N,2,,,,99,,,,,
Potentilla_fissa,N,2.270833333,,,,99,,,,,
Salix_bebbiana,N,4.25,327.6941884,,,99,1.410673796,,,,
Rubus_pubescens,N,4.32724359,,,,99,,57.41999998,,,
Potentilla_diversifolia,N,0.791666667,,,,99,,,,32.15999999,
Ailanthus_altissima,I,2.714285714,419.889542,11.48911861,38.74257942,99,,0.599437585,0.4975,18.30986938,
Waldsteinia_fragarioides,N,10.66666667,,12.935,,99,,93.65555547,,,
Cystopteris_protrusa,N,0.625,,,,99,,,,,
Salix_planifolia,N,0.5,222.6577002,10.39000001,21.43,99,1.021338574,635.1130502,,28.42626074,
Salix_scouleriana,N,14.6,244.3824696,17.54554677,173.1980231,99,1.049965591,687.4736646,,42.34437136,
Magnolia_fraseri,N,4.875,,,,99,,,,,
Dryas_integrifolia,N,3.321428571,,6.925000004,1.2,99,,,0.746857964,6.700000005,
Salix_glauca,N,3.833333333,235.78968,14.67024942,84.64851051,77,1.013340047,678.0056375,,20.09999998,
Salix_hastata,N,3,236.0451429,14.61901793,84.3410581,89,1.021511659,678.8946807,,25.78784164,
Salix_pulchra,N,4.109479718,236.9369161,11.9588043,73.59811434,96,1.071115853,712.5860562,,15.07777777,
Equisetum_scirpoides,N,0.666666667,,,,99,,,,,
Equisetum_arvense,N,1.457142857,,,0.375833333,99,0.169,89.07333335,,113.5262744,
Cornus_drummondii,N,11.69451346,,,,99,,,,,
Cornus_unalaschkensis,N,2.753258145,,,,99,,,,,
Arenaria_congesta,N,0.5,,,,99,,,,30.74999999,
Dryas_octopetala,N,1.916666667,,12.85000001,3.133333334,99,,,0.144289622,2.019999998,
Juncus_interior,N,7.75,,,,99,,,,,
Juncus_scirpoides,N,1,,,,99,,,,,
Tofieldia_pusilla,N,0.5,,,,20,0.565,,,1.507866668,
Chamaesyce_articulata,N,5,,,,99,,,,,
Chamaesyce_hirta,N,3.25,,,,99,,,,,
Cystopteris_fragilis,N,0.5,,15.91999999,,90,,,,12.73000001,
Ilex_mucronata,N,2.276666667,,,,99,,,,,
Betula_occidentalis,N,12.33333333,,,,99,,,,,
Cornus_alternifolia,N,1.666666667,,,,99,,,,61.26479999,
Geranium_viscosissimum,N,3.105833333,,,,99,1.171138893,,,194.0052002,
Portulaca_oleracea,I,5.5,373.0530929,16.05578304,23.23481153,99,,204.1311927,,,
Vitis_rotundifolia,N,4.938125,,,,99,,,,,
Cornus_asperifolia,N,8,,,,99,,,,,
Cornus_rugosa,N,4.5,,,,99,,,,,
Ilex_anomala,N,2.504310345,,,,99,,,,,
Ilex_coriacea,N,8.083333333,,,,99,,,,,
Ilex_glabra,N,13.6875,,,,99,,,,,
Salsola_collina,I,1.68452381,,9.193333331,,99,0.137175,22.86333333,,,
Geum_triflorum,N,16.29166667,,7.011111114,,99,,,,167.6399999,
Impatiens_pallida,N,0.5,,23.10000001,,99,,,,,
Betula_neoalaskana,N,16.88888889,,,,99,,,,,
Ilex_decidua,N,4.703703704,,,,99,,,,,
Ilex_vomitoria,N,65,,,,99,,,,,
Geum_rossii,N,1.975694444,,,,99,,,,27.50000001,
Lupinus_benthamii,N,4,,,,99,,381.9227434,,,
Lupinus_bicolor,N,1.723333333,,,,99,,381.9227434,,,
Lupinus_sericeus,N,1.768333333,,,,99,,381.9227434,,,
Verbesina_aristata,N,2.5,,,,99,,,,,
Prunus_angustifolia,N,2.125,,,,99,,,,,
Prunus_mexicana,N,54,,,,99,,,,448.1309462,
Erodium_botrys,I,10.27861248,,,,99,1.166489276,,,,
Erodium_brachycarpum,I,11.5,,,,99,1.166489276,,,,
Prunus_americana,N,2.8125,,,,99,,,,102.1080001,
Rorippa_palustris,N,7.8,430.2596091,25.642228,0.16,99,0.075,24.63333335,,15.55333334,
Spartina_pectinata,N,24.58333333,494.7780492,,0.310344828,99,1.939030639,,0.374,80.29499992,
Cornus_sericea,N,3.875,,,,94,,,,,
Vitis_cinerea,N,2.604166667,,,,99,,,,,
Sisymbrium_altissimum,I,0.75,,,,99,1.130021859,,,,
Carex_rupestris,N,4.849358974,407.7280076,16.77235395,2.95,15,0.184573304,131.36654,,,
Luzula_arctica,N,0.5,,11.61433739,0.375,99,,,,2.524999997,
Cornus_canadensis,N,4.857432432,,10.38000001,,99,,61.99652781,,,
Alnus_viridis,N,19.64285714,,,,99,,,0.213173853,20.19999998,
Quercus_fusiformis,N,0.5,,,,99,1.172927236,369.7789575,,778.8749995,
Calocedrus_decurrens,N,6.425,479.9999996,10,,99,,550.2543504,,,
Quercus_falcata,N,10.92028986,,,,99,1.834794827,466.2182736,,,
Quercus_montana,N,1.794871795,,,,99,1.834794827,466.2182736,,,
Quercus_pagoda,N,1.986111111,,,,99,1.834794827,466.2182736,,,
Carex_jamesii,N,2.774285714,486.3808649,32.13048381,,29,0.302089038,277.3016907,,,
Quercus_minima,N,11.70684524,,,,99,1.439051183,374.2534154,,,
Viburnum_lantanoides,N,2.875,,,,99,,386.8770682,,,
Viburnum_nudum,N,2.333333333,,,,99,,386.8770682,,,
Viburnum_prunifolium,N,1.326923077,,,,99,,386.8770682,,,
Quercus_chrysolepis,N,8,,,,99,1.259482949,372.595444,,490.1183999,
Impatiens_capensis,N,0.566666667,,12.03296183,34.38806508,99,,267.26,,,
Nyssa_biflora,N,0.5,,,,99,,,,,
Prosopis_glandulosa,N,18.34126984,,,,99,,,0.29625,244.4507939,
Linnaea_borealis,N,3.537136319,,14.85000001,,44,,111.6208792,,,
Senna_bauhinioides,N,1.173611111,,,,99,1.567477104,,,113.9,
Carex_leptalea,N,2.869871795,509.6434647,37.79492554,,25,0.356894313,355.9524959,,,
Larrea_tridentata,N,21.88214286,,,0.433499108,99,,42.82117381,0.230056645,160.7999998,
Poa_glauca,N,2,368.8470797,2.731851296,0.194682921,30,0.35,0.91376,,12.62500001,
Amaranthus_albus,I,3.333333333,,,,99,0.748334256,,,,
Thuja_plicata,N,15,463,16.00000001,,99,0.98187806,499.1250411,,52.25999995,
Senegalia_greggii,N,14.75,,,0.345549209,99,,34.3998893,,,
Verbena_stricta,N,1.375,440.5942544,22.31019035,1.428410589,99,2.634818693,203.4232607,,81.68640006,
Poa_secunda,N,0.896666667,,,,99,1.279617976,,,27.62266669,
Poa_reflexa,N,1,,,,99,1.717273055,,,,
Poa_sylvestris,N,5.333333333,,,,99,1.717273055,,,,
Lupinus_arcticus,N,1.011904762,497.2329437,,,99,,37.64568568,,20.09999998,
Prosopis_velutina,N,17.53333333,,,0.518776126,99,,31.02731587,0.326393346,335,
Descurainia_pinnata,N,0.569444444,,,,99,0.627704908,,,,
Viburnum_acerifolium,N,1.428571429,,,,99,,253.564333,,,
Silene_antirrhina,N,0.5,,,,99,1.290618762,,,,
Quercus_wislizeni,N,0.5,,,,99,1.365135406,252.9338155,,,
Quercus_coccinea,N,3.666666667,414.6166368,2.089999999,8.879787657,99,0.882419943,62.46477183,,121.92,
Atriplex_canescens,N,5.8125,490.179251,9.346104703,0.515328271,99,0.521890832,66.05135541,0.289366659,149.0525001,
Lupinus_argenteus,N,1.833333333,428.5371017,28.50082162,15.03595606,99,,12.87317962,,19.4,
Carex_nebrascensis,N,5,522.2034912,,,21,0.345421007,472.8660822,,65.00000005,
Thuja_occidentalis,N,0.5,,17.60000001,,73,0.31598,108.9993876,,63.65833334,
Ruellia_caroliniensis,N,1.057692308,,,,99,2.355143786,429.4280648,,,
Ruellia_strepens,N,0.833333333,,,,99,2.355143786,429.4280648,,,
Ruellia_tuberosa,N,1.5,,,,99,2.355143786,429.4280648,,,
Atriplex_confertifolia,N,6,,15.01670552,,99,0.700184132,396.0006072,0.436436965,40.19999999,
Luzula_spicata,N,1.138888889,,,,99,,152.8099997,,427.2850446,
Erigeron_strigosus,N,0.928571429,303.0375779,4.794250212,0.2587346,99,0.05,15.73000001,,15.11066665,
Silene_acaulis,N,2.835714286,,4.999999996,,99,1.25515359,,,13.39999999,
Quercus_margaretta,N,11,,37.60725782,41.33858968,99,1.778630135,409.8545597,,,
Carex_bicknellii,N,2,454.6415818,18.16217236,1.870622372,18,0.390516444,350.4873232,,702.3336093,
Carex_abscondita,N,3.5,,,,19,0.438000641,480.2392124,,728.485372,
Carex_alligata,N,1.875,,,,19,0.438000641,480.2392124,,728.485372,
Carex_austrina,N,0.5,,,,19,0.438000641,480.2392124,,728.485372,
Carex_bushii,N,2.5,,,,19,0.438000641,480.2392124,,728.485372,
Carex_crawfordii,N,7,,,,19,0.438000641,480.2392124,,728.485372,
Carex_ebenea,N,1.25,,,,19,0.438000641,480.2392124,,728.485372,
Carex_gravida,N,1.25,,,,19,0.438000641,480.2392124,,728.485372,
Carex_inops,N,1.75,,,,19,0.438000641,480.2392124,,728.485372,
Carex_molestiformis,N,1,,,,19,0.438000641,480.2392124,,728.485372,
Carex_peckii,N,2.5,,,,19,0.438000641,480.2392124,,728.485372,
Carex_rossii,N,2.449652778,,,,19,0.438000641,480.2392124,,728.485372,
Carex_tribuloides,N,4,,,,19,0.438000641,480.2392124,,728.485372,
Carex_molesta,N,0.5,455.9062341,18.44226519,2.02467628,18,0.392013635,353.6709623,,703.5339766,
Poa_alpina/arctica,N,5,472.696331,12.53999999,0.442,99,0.999280745,,,38.00000003,
Quercus_lyrata,N,1.333333333,,,,99,1.384142182,287.9767583,,,
Carex_brevior,N,1.596153846,457.2062161,18.73385785,2.195765666,18,0.393554288,356.9643651,,704.7665413,
Corylus_americana,N,1,,10.525525,43.7,99,,52.00000004,,234.8484002,
Betula_glandulosa,N,10.17933489,,,,99,0.31,,,20.09999998,
Verbena_halei,N,0.5,495.4717614,39.88043433,,99,,183.2841011,,,
Verbena_urticifolia,N,3.375,495.4717614,39.88043433,,99,,183.2841011,,,
Androsace_septentrionalis,N,0.5,464.6035009,12.29704856,25.23047211,99,,79.99693946,0.113475177,5.499999994,
Juncus_arcticus,N,7.125,,,,99,0.56173482,,,,
Juncus_tenuis,N,1.166666667,,,,99,0.56173482,,,,
Quercus_hemisphaerica,N,11,494.9305927,20.4850534,,99,1.10994196,149.3014907,,,
Quercus_laevis,N,5.510606061,494.9305927,20.4850534,,99,1.10994196,149.3014907,,,
Quercus_myrtifolia,N,30,494.9305927,20.4850534,,99,1.10994196,149.3014907,,,
Quercus_nigra,N,6.677419355,494.9305927,20.4850534,,99,1.10994196,149.3014907,,,
Chamaesyce_serpyllifolia,N,1.083333333,413.6950686,14.33110355,28.86693731,99,2.498090511,148.9629904,,,
Salvia_columbariae,N,0.5,,,,99,1.891683426,,,,
Salvia_lyrata,N,1.0625,,,,99,1.891683426,,,,
Quercus_incana,N,7.25,512.9585192,27.53206654,,99,1.17327325,180.6144761,,,
Quercus_phellos,N,1.75,512.9585192,27.53206654,,99,1.17327325,180.6144761,,,
Rosa_woodsii,N,1.726190476,446.3888169,6.522524949,68.43803901,99,,36.24404375,,,
Robinia_pseudoacacia,N,1.678571429,,14.29999998,,63,,1.863,0.340833333,305.2547552,
Acer_circinatum,N,1.326923077,,,,99,1.816068969,443.1344709,,,
Quercus_marilandica,N,2.333333333,509.2051536,26.34344837,,99,1.151502282,173.5770059,,,
Quercus_laurifolia,N,5.5,508.6764813,26.24398927,,99,1.147084156,172.5901801,,,
Luzula_confusa,N,0.5,,8.075,65.20000004,99,,,,2.524999997,
Acer_barbatum,N,4.875,,9.701339499,,99,1.964959006,350.4555259,,112.9,
Amelanchier_arborea,N,1.325,,,,99,1.561849307,235.5226762,,,
Amelanchier_laevis,N,4.079166667,,,,99,1.561849307,235.5226762,,,
Morus_rubra,N,2.5,,,,99,,,0.504812541,163.3727999,
Oenothera_speciosa,N,0.625,,,,99,1.863603524,,,,
Arenaria_fendleri,N,1.256944444,445.1421735,9.550431962,46.60963768,99,,50.08046884,,,
Sisymbrium_officinale,I,1,522.606246,19.4,0.414072544,99,0.793131271,914.0000006,0.297694282,,
Aristida_beyrichiana,N,12.83797619,,,,99,1.633976899,865.1475641,,,
Abies_balsamea,N,13.36805556,441.8189606,9.08344906,0.295371229,11,2.560014332,22.013405,0.228774138,82.04033669,
Quercus_velutina,N,1.891025641,507.0093154,25.29747841,,99,1.071568276,171.7148152,,101.6,
Acer_spicatum,N,9.375,499.4890383,8.199999993,,99,1.144962622,127.3063157,,,
Carex_disperma,N,4.053571429,519.829207,35.20290282,,15,0.34275202,489.7478443,,244.6639966,
Cassiope_tetragona,N,3.516666667,,9.304642126,3.4,99,0.35,,0.791240502,2.905955557,
Carex_atherodes,N,6.305555556,490.0817582,39.74643561,,3,0.0911,540.8015737,,,
Chasmanthium_laxum,N,3,,,,99,,330.9083997,,,
Chasmanthium_sessiliflorum,N,3.603070175,,,,99,,330.9083595,,,
Carex_interior,N,0.5,491.0911732,12.84503441,35.08437812,21,0.443600827,49.72178806,,,
Geranium_maculatum,N,1,,,,99,0.695146218,809.5795243,,,
Vaccinium_parvifolium,N,3.541666667,,27.01894676,,99,0.803530603,301.9130785,,134.5055117,
Verbena_bracteata,N,3,414.8395534,14.37707665,28.85423543,99,,46.87515707,,,
Cornus_suecica,N,1.583333333,465.5504288,7.812801368,59.58815627,99,,,,,
Vaccinium_ovalifolium,N,19.1875,,24.01658821,,99,0.801073013,248.7952433,,106.027088,
Amaranthus_fimbriatus,N,1.388888889,,,,99,0.476783646,,,,
Amaranthus_palmeri,N,4.714285714,,,,99,0.476783646,,,,
Carex_canescens,N,1.022727273,482.5504134,28.88240219,,14,0.1139,473.3310093,,161.3283957,
Quercus_geminata,N,10.05,,,,99,1.105072575,196.7318824,,,
Vaccinium_myrtilloides,N,1.775,,7.730000001,,99,0.785165611,51.92771087,0.704507076,11.10000001,
Luzula_multiflora,N,0.5,,5.237476544,84.58953294,99,,132.06,,275.0881236,
Vaccinium_angustifolium,N,3.335161565,,7.062500003,,99,0.793120962,76.46321067,,636.6857537,
Carex_echinata,N,3,506.0818374,30.83569191,,14,0.285772472,475.328247,,146.1183165,
Vaccinium_elliottii,N,4.125,,,,99,0.787792092,,,646.1934225,
Vaccinium_membranaceum,N,6.35,,,,99,0.787792092,,,646.1934225,
Vaccinium_oxycoccos,N,0.695833333,,,,99,0.787792092,,,646.1934225,
Abies_fraseri,N,13.275,443.6371333,15.27471566,1.584951134,9,2.340206029,30.52745479,0.3525,324.1964918,
Sporobolus_flexuosus,N,1.621263228,,,,99,1.537745398,724.5060249,,,
Sporobolus_junceus,N,6.391666667,,,,99,1.537745398,724.5060249,,,
Poncirus_trifoliata,I,0.5,,,,28,0.643902778,32.59999999,0.282923821,,
Carex_deweyana,N,1.2,503.5839563,30.0905554,,13,0.275954927,472.4268207,,136.6672334,
Sida_cordifolia,N,2,,,,54,1.661729443,329.4201541,,,
Carex_siccata,N,4.35,505.2364298,29.31801191,,13,0.283194944,474.8889049,,13.49999998,
Amorpha_canescens,N,4.423686371,,29.09992,,99,0.1938,45.47766131,0.335081865,192.3146222,
Salvia_reflexa,N,0.5,,,,99,0.17178,,,,
Carex_trisperma,N,3.65625,502.6504347,30.12402012,,13,0.255337258,472.3732439,,133.1389216,
Quercus_kelloggii,N,1.425,,37.79466156,,99,1.025107754,173.31307,,,
